pair;anger;fear;joy;sadness;positive;negative
Svevo Livia;13;2;36;49;49;51
Svevo Livia;21;15;30;33;45;55
Svevo Livia;10;0;45;45;40;60
Svevo Livia;22;4;22;52;26;74
Svevo Livia;10;0;19;71;26;74
Svevo Livia;17;3;29;51;29;71
Svevo Livia;27;0;27;45;45;55
Svevo Livia;18;0;55;27;55;45
Svevo Livia;12;12;50;25;50;50
Svevo Livia;7;14;57;21;36;64
Svevo Livia;0;17;58;25;50;50
Svevo Livia;0;6;25;69;38;62
Svevo Livia;0;0;43;57;43;57
Svevo Livia;11;5;21;63;37;63
Svevo Livia;0;0;60;40;40;60
Svevo Livia;31;0;19;50;19;81
Svevo Livia;20;6;23;51;26;74
Svevo Livia;12;0;38;50;38;62
Svevo Livia;20;10;40;30;30;70
Svevo Livia;12;0;50;38;62;38
Svevo Livia;31;0;38;31;38;62
Svevo Livia;9;0;36;55;45;55
Svevo Livia;23;8;31;38;15;85
Svevo Livia;29;7;36;29;36;64
Svevo Livia;15;8;31;46;31;69
Svevo Livia;26;16;21;37;32;68
Svevo Livia;18;0;36;45;36;64
Svevo Livia;8;8;26;59;18;82
Svevo Livia;16;16;29;40;31;69
Svevo Livia;7;7;33;53;33;67
Svevo Livia;12;0;29;59;35;65
Svevo Livia;0;0;44;56;44;56
Svevo Livia;14;8;30;49;32;68
Svevo Livia;23;13;20;43;23;77
Svevo Livia;19;12;25;44;38;62
Svevo Livia;20;13;13;53;27;73
Svevo Livia;0;0;60;40;40;60
Svevo Livia;0;0;33;67;67;33
Svevo Livia;17;4;39;39;39;61
Svevo Livia;22;0;47;31;47;53
Svevo Livia;22;9;34;34;44;56
Svevo Livia;9;4;57;30;48;52
Svevo Livia;7;10;38;45;48;52
Svevo Livia;17;6;40;37;54;46
Svevo Livia;20;7;27;47;30;70
Svevo Livia;20;20;20;40;0;100
Svevo Livia;0;0;50;50;25;75
Svevo Livia;9;9;48;35;52;48
Svevo Livia;12;12;38;38;41;59
Svevo Livia;4;4;61;30;48;52
Svevo Livia;0;0;40;60;40;60
Svevo Livia;13;5;28;54;38;62
Svevo Livia;6;17;39;39;39;61
Svevo Livia;21;7;21;50;21;79
Svevo Livia;12;10;25;54;32;68
Svevo Livia;17;2;29;53;36;64
Svevo Livia;19;0;38;44;50;50
Svevo Livia;9;0;45;45;55;45
Svevo Livia;12;0;25;62;0;100
Svevo Livia;10;0;29;62;38;62
Svevo Livia;8;8;31;54;46;54
Svevo Livia;29;0;21;50;36;64
Svevo Livia;12;0;33;54;38;62
Svevo Livia;7;7;37;50;43;57
Svevo Livia;17;0;26;57;35;65
Svevo Livia;18;8;26;48;36;64
Svevo Livia;14;7;25;54;32;68
Svevo Livia;8;0;46;46;46;54
Svevo Livia;6;12;25;56;31;69
Svevo Livia;10;0;20;70;25;75
Svevo Livia;5;5;42;47;42;58
Svevo Livia;10;10;30;50;30;70
Svevo Livia;24;0;24;53;35;65
Svevo Livia;8;0;50;42;42;58
Svevo Livia;0;0;38;62;46;54
Svevo Livia;6;0;31;62;38;62
Svevo Livia;0;0;57;43;43;57
Svevo Livia;11;0;53;37;53;47
