year;anger;fear;joy;sadness;positive;negative
1924;7;7;50;36;43;57
1924;0;0;50;50;38;62
1924;0;0;67;33;67;33
1925;0;0;36;64;64;36
1925;10;0;50;40;80;20
1925;4;4;38;54;46;54
1925;18;9;45;27;36;64
1925;0;0;59;41;65;35
1925;0;0;50;50;62;38
1925;4;0;36;61;43;57
1925;17;4;35;43;43;57
1925;25;3;36;36;39;61
1925;11;0;33;56;56;44
1925;25;0;50;25;67;33
1925;12;4;36;48;48;52
1925;0;0;36;64;36;64
1925;14;0;57;29;71;29
1925;6;6;35;53;29;71
1925;4;0;38;58;42;58
1925;6;6;50;38;50;50
1926;3;0;59;38;69;31
1926;8;0;46;46;62;38
1926;0;0;33;67;56;44
1926;6;0;50;44;56;44
1926;25;8;50;17;46;54
1926;0;0;69;31;69;31
1926;20;4;32;44;32;68
1926;4;9;35;52;48;52
1926;24;0;26;50;39;61
1926;17;0;50;33;33;67
1926;19;2;38;40;57;43
1926;10;5;40;45;50;50
1926;6;0;59;35;53;47
1926;22;0;56;22;56;44
1926;8;8;50;33;42;58
1926;16;5;42;37;47;53
1926;22;0;39;39;35;65
1926;6;0;50;44;44;56
1926;0;0;58;42;58;42
1926;9;9;18;64;24;76
1926;11;5;47;37;47;53
1926;28;6;28;39;22;78
1926;0;0;67;33;73;27
1926;8;15;46;31;54;46
1926;18;3;26;53;29;71
1926;8;0;62;31;54;46
1926;14;0;43;43;46;54
1926;11;5;47;37;42;58
1926;0;0;44;56;52;48
1926;15;10;40;35;60;40
1926;12;4;29;54;46;54
1926;14;10;43;33;52;48
1926;7;0;27;67;33;67
1926;15;10;35;40;40;60
1926;22;3;34;41;44;56
1926;25;5;30;40;30;70
1926;21;3;30;45;39;61
1926;14;3;24;59;17;83
1926;28;11;22;39;28;72
1926;25;0;42;33;58;42
1926;0;0;41;59;45;55
1926;15;2;35;48;38;62
1926;8;5;45;42;48;52
1926;21;9;34;36;26;74
1926;11;0;39;50;50;50
1926;20;4;30;46;39;61
1926;16;0;32;53;37;63
1926;19;2;33;46;40;60
1926;8;17;25;50;17;83
1926;0;6;38;56;62;38
1926;27;13;33;27;40;60
1926;0;0;57;43;29;71
1926;0;0;40;60;50;50
1926;12;0;12;76;41;59
1926;0;0;62;38;38;62
1926;20;0;60;20;40;60
1926;26;0;17;57;20;80
1926;14;7;14;64;29;71
1926;5;0;47;47;37;63
1926;0;0;67;33;78;22
1926;0;17;67;17;67;33
1926;0;0;36;64;18;82
1926;15;7;33;44;37;63
1926;16;11;32;42;32;68
1926;0;22;67;11;56;44
1926;7;0;64;29;64;36
1926;0;0;56;44;67;33
1926;5;0;67;29;62;38
1927;0;0;71;29;57;43
1927;13;0;44;42;56;44
1927;39;4;17;39;22;78
1927;0;4;48;48;52;48
1927;4;0;46;50;61;39
1927;0;0;40;60;50;50
1927;7;0;50;43;57;43
1927;8;4;46;42;58;42
1927;25;6;31;38;31;69
1927;18;6;29;47;18;82
1927;9;0;13;78;26;74
1927;12;3;36;48;33;67
1927;14;5;32;50;36;64
1927;25;12;38;25;38;62
1927;17;0;33;50;0;100
1927;38;12;38;12;25;75
1927;12;0;46;42;38;62
1927;30;0;50;20;50;50
1927;26;5;42;26;42;58
1927;14;0;48;38;43;57
1927;21;7;29;43;50;50
1927;9;4;39;48;43;57
1927;18;2;36;44;32;68
1927;10;0;80;10;80;20
1927;22;0;26;52;39;61
1927;26;0;33;41;33;67
1927;0;0;50;50;50;50
1927;6;6;61;28;61;39
1927;17;11;33;39;44;56
1927;8;0;58;33;58;42
1927;0;0;54;46;54;46
1927;4;0;43;54;39;61
1927;8;0;69;23;46;54
1927;0;6;33;61;44;56
1927;13;0;40;47;47;53
1927;13;3;29;55;26;74
1927;18;6;24;52;27;73
1927;16;5;16;63;26;74
1927;12;3;26;59;35;65
1927;33;3;27;37;37;63
1927;0;0;86;14;71;29
1927;9;0;55;36;55;45
1927;0;0;50;50;50;50
1927;0;0;33;67;33;67
1927;10;0;30;60;50;50
1927;0;0;65;35;53;47
1927;22;0;33;44;33;67
1927;9;0;39;52;43;57
1927;21;4;36;39;32;68
1927;26;0;42;32;37;63
1927;18;0;64;18;45;55
1927;0;0;83;17;75;25
1927;12;12;62;12;50;50
1927;0;0;73;27;55;45
1927;0;0;60;40;60;40
1928;0;0;78;22;89;11
1928;0;25;75;0;75;25
1928;0;0;60;40;40;60
1928;5;0;65;30;60;40
1928;21;0;38;41;41;59
1928;0;0;67;33;60;40
1928;8;4;32;56;40;60
1928;17;0;50;33;50;50
1928;0;25;50;25;25;75
1928;5;10;40;45;50;50
1928;33;0;17;50;33;67
1928;18;3;32;47;44;56
1928;0;0;100;0;100;0
1928;23;5;30;43;32;68
1928;8;3;31;59;41;59
1928;6;0;56;38;69;31
1928;19;0;44;38;50;50
1928;0;0;80;20;60;40
1928;6;0;65;29;59;41
1928;15;10;30;45;40;60
1928;0;0;43;57;43;57
1928;11;0;33;56;44;56
1928;10;5;65;20;65;35
1928;0;0;100;0;75;25
1928;13;13;47;27;53;47
